Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HomeTeam_Wins,HomeTeam_Draws,HomeTeam_Losses,HomeTeam_AvgGoalsScored,HomeTeam_AvgGoalsConceded,HomeTeam_AvgShots,HomeTeam_AvgShotsConceded,HomeTeam_AvgCorners,HomeTeam_AvgCornersConceded,HomeTeam_AvgFouls,HomeTeam_PrevSeasonRank,AwayTeam_Wins,AwayTeam_Draws,AwayTeam_Losses,AwayTeam_AvgGoalsScored,AwayTeam_AvgGoalsConceded,AwayTeam_AvgShots,AwayTeam_AvgShotsConceded,AwayTeam_AvgCorners,AwayTeam_AvgCornersConceded,AwayTeam_AvgFouls,AwayTeam_PrevSeasonRank
19/08/2000,Charlton,Man City,4,0,H,2,0,H,Rob Harris,17,8,14,4,6,6,13,12,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Chelsea,West Ham,4,2,H,1,0,H,Graham Barber,17,12,10,5,7,7,19,14,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Coventry,Middlesbrough,1,3,A,1,1,D,Barry Knight,6,16,3,9,8,4,15,21,5,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Derby,Southampton,2,2,D,1,2,A,Andy D'Urso,6,13,4,6,5,8,11,13,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Leeds,Everton,2,0,H,2,0,H,Dermot Gallagher,17,12,8,6,6,4,21,20,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Leicester,Aston Villa,0,0,D,0,0,D,Mike Riley,5,5,4,3,5,4,12,12,2,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Liverpool,Bradford,1,0,H,0,0,D,Paul Durkin,16,3,10,2,6,1,8,8,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Sunderland,Arsenal,1,0,H,0,0,D,Steve Dunn,8,14,2,7,2,9,10,21,3,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19/08/2000,Tottenham,Ipswich,3,1,H,2,1,H,Alan Wiley,20,15,6,5,3,4,14,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20/08/2000,Man United,Newcastle,2,0,H,1,0,H,Steve Lodge,19,9,9,6,7,1,7,13,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21/08/2000,Arsenal,Liverpool,2,0,H,1,0,H,Graham Poll,17,7,12,4,10,11,25,20,2,4,1,2,0,0,1,0.0,1.0,14.0,14.0,9.0,2.0,21.0,0,1,0,0,1.0,0.0,16.0,3.0,6.0,1.0,8.0,0
22/08/2000,Bradford,Chelsea,2,0,H,1,0,H,Mark Halsey,12,14,3,6,6,4,14,16,0,1,0,0,0,0,1,0.0,1.0,3.0,3.0,1.0,6.0,8.0,0,1,0,0,4.0,2.0,17.0,12.0,7.0,7.0,19.0,0
22/08/2000,Ipswich,Man United,1,1,D,1,1,D,Jeff Winter,13,15,8,6,4,6,10,7,1,4,0,0,0,0,1,1.0,3.0,15.0,15.0,4.0,3.0,13.0,0,1,0,0,2.0,0.0,19.0,9.0,7.0,1.0,7.0,0
22/08/2000,Middlesbrough,Tottenham,1,1,D,0,1,A,Peter Jones,12,11,6,4,5,5,9,18,2,1,0,0,1,0,0,3.0,1.0,16.0,16.0,4.0,8.0,21.0,0,1,0,0,3.0,1.0,20.0,15.0,3.0,4.0,14.0,0
23/08/2000,Everton,Charlton,3,0,H,0,0,D,Andy Hall,13,8,8,4,3,5,17,15,2,1,0,1,0,0,1,0.0,2.0,12.0,12.0,4.0,6.0,20.0,0,1,0,0,4.0,0.0,17.0,8.0,6.0,6.0,13.0,0
23/08/2000,Man City,Sunderland,4,2,H,2,0,H,David Ellaray,15,9,10,4,7,3,24,14,3,3,0,0,0,0,1,0.0,4.0,8.0,8.0,6.0,6.0,12.0,0,1,0,0,1.0,0.0,8.0,14.0,2.0,9.0,10.0,0
23/08/2000,Newcastle,Derby,3,2,H,1,1,D,Dermot Gallagher,9,10,4,5,9,6,23,11,0,3,1,0,0,0,1,0.0,2.0,9.0,9.0,1.0,7.0,13.0,0,0,1,0,2.0,2.0,6.0,13.0,5.0,8.0,11.0,0
23/08/2000,Southampton,Coventry,1,2,A,0,1,A,F Taylor,12,7,4,5,6,5,18,20,5,3,0,0,0,1,0,2.0,2.0,13.0,13.0,8.0,5.0,13.0,0,0,0,1,1.0,3.0,6.0,16.0,8.0,4.0,15.0,0
23/08/2000,West Ham,Leicester,0,1,A,0,0,D,Rob Styles,17,4,12,2,11,5,16,14,3,3,1,0,0,0,1,2.0,4.0,12.0,12.0,7.0,7.0,14.0,0,0,1,0,0.0,0.0,5.0,5.0,5.0,4.0,12.0,0
26/08/2000,Arsenal,Charlton,5,3,H,1,2,A,Steve Lodge,18,7,9,4,8,3,12,15,0,1,0,0,1,0,1,1.0,0.5,15.5,15.5,9.5,6.5,23.0,0,1,0,1,2.0,1.5,12.5,10.5,5.5,4.5,14.0,0
26/08/2000,Bradford,Leicester,0,0,D,0,0,D,Steve Bennett,8,13,4,8,6,8,11,12,1,2,0,0,1,0,1,1.0,0.5,7.5,7.5,3.5,5.0,11.0,0,1,1,0,0.5,0.0,4.5,11.0,5.0,7.5,13.0,0
26/08/2000,Everton,Derby,2,2,D,2,0,H,Mike Riley,12,7,9,4,11,2,11,9,2,3,0,0,1,0,1,1.5,1.0,12.5,12.5,3.5,5.5,18.5,0,0,1,1,2.0,2.5,8.0,11.0,5.5,8.5,11.0,0
