year,total_age_years,average_age_years,number_of_players
2000,15455,25.13,613
2001,13160,24.92,526
2002,15472,25.53,604
2003,12896,25.56,502
2004,13478,25.27,528
2005,12757,24.93,508
2006,16662,25.43,652
2007,16438,25.54,639
2008,16304,25.08,648
2009,16911,26.14,648
2010,17012,26.89,630
2011,16028,26.02,612
2012,15749,25.1,627
2013,16129,24.18,670
2014,16405,24.41,672
2015,17228,24.41,704
2016,16806,24.11,698
2017,16058,24.69,651
2018,15572,26.8,579
2019,15574,24.22,646
2020,15122,27.15,555
2021,15139,25.37,602
2022,17710,24.2,734
2023,17266,24.33,711
2024,18059,24.17,746
2025,9871,26.79,367
