team_name,total_age_years,average_age_years,number_of_players
Chelsea,541,30.06,18
Liverpool,289,28.9,10
Tottenham,482,28.35,17
Newcastle,452,28.25,16
Sheffield United,621,28.23,22
Wolverhampton,310,28.18,11
Everton,365,28.08,13
Brentford,444,27.75,16
Nottingham Forest,409,27.27,15
Manchester City,299,27.18,11
Burnley,460,27.06,17
Crystal Palace,376,26.86,14
West Ham,374,26.71,14
Manchester United,347,26.69,13
Arsenal,239,26.56,9
Bournemouth,318,26.5,12
Aston Villa,287,26.09,11
Brighton,385,25.67,15
Luton Town,455,25.28,18
Fulham,306,23.54,13
