year,team_name,total_age_years,average_age_years,number_of_players
2000,Arsenal,560,24.35,23
2000,Aston Villa,444,22.2,20
2000,Bournemouth,680,21.94,31
2000,Brentford,765,23.18,33
2000,Brighton,417,26.06,16
2000,Burnley,775,28.7,27
2000,Chelsea,554,24.09,23
2000,Crystal Palace,695,27.8,25
2000,Everton,479,25.21,19
2000,Fulham,586,25.48,23
2000,Liverpool,480,24.0,20
2000,Leeds United,476,25.05,19
2000,Leicester City,528,24.0,22
2000,Luton Town,813,24.64,33
2000,Manchester City,647,26.96,24
2000,Manchester United,604,25.17,24
2000,Newcastle,477,23.85,20
2000,Norwich City,427,23.72,18
2000,Nottingham Forest,532,25.33,21
2000,Sheffield United,787,28.11,28
2000,Southampton,414,23.0,18
2000,Tottenham,620,28.18,22
2000,Watford,849,25.73,33
2000,West Bromwich,367,24.47,15
2000,West Ham,905,28.28,32
2000,Wolverhampton,574,23.92,24
2001,Arsenal,534,26.7,20
2001,Aston Villa,274,21.08,13
2001,Bournemouth,698,22.52,31
2001,Brentford,631,23.37,27
2001,Brighton,763,25.43,30
2001,Burnley,352,25.14,14
2001,Chelsea,653,27.21,24
2001,Crystal Palace,570,27.14,21
2001,Everton,449,23.63,19
2001,Fulham,590,28.1,21
2001,Liverpool,446,23.47,19
2001,Leeds United,383,23.94,16
2001,Leicester City,574,26.09,22
2001,Luton Town,357,25.5,14
2001,Manchester City,737,27.3,27
2001,Manchester United,521,22.65,23
2001,Newcastle,503,26.47,19
2001,Norwich City,299,21.36,14
2001,Nottingham Forest,498,26.21,19
2001,Sheffield United,528,25.14,21
2001,Southampton,521,26.05,20
2001,Tottenham,492,25.89,19
2001,Watford,588,25.57,23
2001,West Bromwich,326,23.29,14
2001,West Ham,450,23.68,19
2001,Wolverhampton,423,24.88,17
2002,Arsenal,571,24.83,23
2002,Aston Villa,468,24.63,19
2002,Bournemouth,657,24.33,27
2002,Brentford,697,23.23,30
2002,Brighton,941,26.89,35
2002,Burnley,640,25.6,25
2002,Chelsea,581,26.41,22
2002,Crystal Palace,560,26.67,21
2002,Everton,456,24.0,19
2002,Fulham,470,26.11,18
2002,Liverpool,462,25.67,18
2002,Leeds United,537,26.85,20
2002,Leicester City,522,24.86,21
2002,Luton Town,651,26.04,25
2002,Manchester City,856,29.52,29
2002,Manchester United,561,26.71,21
2002,Newcastle,537,25.57,21
2002,Norwich City,763,25.43,30
2002,Nottingham Forest,427,25.12,17
2002,Sheffield United,719,26.63,27
2002,Southampton,466,24.53,19
2002,Tottenham,581,26.41,22
2002,Watford,800,24.24,33
2002,West Bromwich,392,23.06,17
2002,West Ham,744,27.56,27
2002,Wolverhampton,413,22.94,18
2003,Arsenal,502,27.89,18
2003,Aston Villa,284,23.67,12
2003,Bournemouth,262,21.83,12
2003,Brentford,556,24.17,23
2003,Brighton,518,25.9,20
2003,Burnley,356,20.94,17
2003,Chelsea,490,27.22,18
2003,Crystal Palace,430,25.29,17
2003,Everton,393,24.56,16
2003,Fulham,503,25.15,20
2003,Liverpool,549,27.45,20
2003,Leeds United,601,28.62,21
