team_name,total_market_value_millions,average_market_value_millions,number_of_players
Arsenal,1314.0,52.56,25
Manchester City,1212.6,46.64,26
Liverpool,1154.2,44.39,26
Chelsea,1136.5,36.66,31
Tottenham,920.6,31.74,29
Newcastle,751.83,25.93,29
Manchester United,730.2,28.08,26
Nottingham Forest,644.7,23.03,28
Aston Villa,546.0,23.74,23
Brighton,520.6,20.02,26
Crystal Palace,484.52,16.15,30
Bournemouth,448.1,17.92,25
Brentford,434.9,14.03,31
Everton,414.6,17.28,24
West Ham,400.8,15.42,26
Wolverhampton,376.6,14.48,26
Fulham,374.0,15.58,24
Burnley,247.15,7.72,32
Sheffield United,133.68,3.82,35
Luton Town,38.15,1.27,30
