year,team_name,total_market_value_millions,average_market_value_millions,number_of_players
2000,Arsenal,0.0,0.0,37
2000,Aston Villa,0.0,0.0,33
2000,Bournemouth,0.0,0.0,31
2000,Brentford,0.0,0.0,33
2000,Brighton,0.0,0.0,16
2000,Burnley,0.0,0.0,27
2000,Chelsea,0.0,0.0,38
2000,Crystal Palace,0.0,0.0,42
2000,Everton,0.0,0.0,35
2000,Fulham,0.0,0.0,38
2000,Liverpool,0.0,0.0,35
2000,Leeds United,0.0,0.0,33
2000,Leicester City,0.0,0.0,40
2000,Luton Town,0.0,0.0,33
2000,Manchester City,0.0,0.0,40
2000,Manchester United,0.0,0.0,39
2000,Newcastle,0.0,0.0,37
2000,Norwich City,0.0,0.0,35
2000,Nottingham Forest,0.0,0.0,36
2000,Sheffield United,0.0,0.0,40
2000,Southampton,0.0,0.0,32
2000,Tottenham,0.0,0.0,36
2000,Watford,0.0,0.0,33
2000,West Bromwich,0.0,0.0,29
2000,West Ham,0.0,0.0,48
2000,Wolverhampton,0.0,0.0,38
2001,Arsenal,0.0,0.0,37
2001,Aston Villa,0.0,0.0,27
2001,Bournemouth,0.0,0.0,31
2001,Brentford,0.0,0.0,28
2001,Brighton,0.0,0.0,33
2001,Burnley,0.0,0.0,29
2001,Chelsea,0.0,0.0,36
2001,Crystal Palace,0.0,0.0,38
2001,Everton,0.0,0.0,33
2001,Fulham,0.0,0.0,34
2001,Liverpool,0.0,0.0,34
2001,Leeds United,0.0,0.0,27
2001,Leicester City,0.0,0.0,37
2001,Luton Town,0.0,0.0,14
2001,Manchester City,0.0,0.0,40
2001,Manchester United,0.0,0.0,38
2001,Newcastle,0.0,0.0,35
2001,Norwich City,0.0,0.0,28
2001,Nottingham Forest,0.0,0.0,33
2001,Sheffield United,0.0,0.0,35
2001,Southampton,0.0,0.0,37
2001,Tottenham,0.0,0.0,32
2001,Watford,0.0,0.0,38
2001,West Bromwich,0.0,0.0,28
2001,West Ham,0.0,0.0,33
2001,Wolverhampton,0.0,0.0,31
2002,Arsenal,0.0,0.0,36
2002,Aston Villa,0.0,0.0,36
2002,Bournemouth,0.0,0.0,27
2002,Brentford,0.0,0.0,30
2002,Brighton,0.0,0.0,35
2002,Burnley,0.0,0.0,30
2002,Chelsea,0.0,0.0,33
2002,Crystal Palace,0.0,0.0,37
2002,Everton,0.0,0.0,33
2002,Fulham,0.0,0.0,32
2002,Liverpool,0.0,0.0,31
2002,Leeds United,0.0,0.0,36
2002,Leicester City,0.0,0.0,35
2002,Luton Town,0.0,0.0,39
2002,Manchester City,0.0,0.0,44
2002,Manchester United,0.0,0.0,34
2002,Newcastle,0.0,0.0,34
2002,Norwich City,0.0,0.0,30
2002,Nottingham Forest,0.0,0.0,32
2002,Sheffield United,0.0,0.0,42
2002,Southampton,0.0,0.0,33
2002,Tottenham,0.0,0.0,37
2002,Watford,0.0,0.0,34
2002,West Bromwich,0.0,0.0,29
2002,West Ham,0.0,0.0,41
2002,Wolverhampton,0.0,0.0,31
2003,Arsenal,0.0,0.0,38
2003,Aston Villa,0.0,0.0,27
2003,Bournemouth,0.0,0.0,26
2003,Brentford,0.0,0.0,37
2003,Brighton,0.0,0.0,34
2003,Burnley,0.0,0.0,31
2003,Chelsea,0.0,0.0,32
2003,Crystal Palace,0.0,0.0,32
2003,Everton,0.0,0.0,31
2003,Fulham,0.0,0.0,37
2003,Liverpool,0.0,0.0,34
2003,Leeds United,0.0,0.0,37
2003,Leicester City,0.0,0.0,40
2003,Luton Town,0.0,0.0,36
2003,Manchester City,0.0,0.0,33
2003,Manchester United,0.0,0.0,35
2003,Newcastle,0.0,0.0,32
2003,Norwich City,0.0,0.0,29
2003,Nottingham Forest,0.0,0.0,36
2003,Sheffield United,0.0,0.0,43
2003,Southampton,0.0,0.0,35
2003,Tottenham,0.0,0.0,34
2003,Watford,0.0,0.0,34
2003,West Bromwich,0.0,0.0,30
2003,West Ham,0.0,0.0,40
2003,Wolverhampton,0.0,0.0,36
2004,Arsenal,247.0,6.68,37
2004,Aston Villa,84.18,3.24,26
2004,Bournemouth,1.57,0.05,30
2004,Brentford,2.4,0.06,42
2004,Brighton,2.12,0.06,37
2004,Burnley,14.1,0.52,27
2004,Chelsea,331.48,10.69,31
2004,Crystal Palace,38.52,1.1,35
2004,Everton,74.28,2.86,26
2004,Fulham,65.22,1.92,34
2004,Liverpool,222.12,5.85,38
2004,Leeds United,52.85,1.08,49
2004,Leicester City,34.5,0.93,37
2004,Luton Town,0.8,0.02,34
2004,Manchester City,94.3,2.77,34
2004,Manchester United,293.23,7.93,37
2004,Newcastle,125.9,4.06,31
2004,Norwich City,31.05,1.11,28
2004,Nottingham Forest,33.5,0.74,45
2004,Sheffield United,14.22,0.36,40
