year,total_market_value_millions,average_market_value_millions,number_of_players
2000,0.0,0.0,914
2001,0.0,0.0,846
2002,0.0,0.0,891
2003,0.0,0.0,889
2004,2115.87,2.36,923
2005,2205.23,2.53,898
2006,2397.82,2.52,972
2007,2753.08,2.87,987
2008,3144.76,3.24,1006
2009,3171.63,3.17,1011
2010,3429.52,3.43,1027
2011,3330.04,3.37,1018
2012,3531.02,3.53,1003
2013,3813.46,3.93,998
2014,1382.0,1.38,341
2015,4777.17,4.66,1037
2016,5896.13,5.68,1041
2017,8237.6,8.58,995
2018,10276.95,9.87,1030
2019,8766.14,8.72,998
2020,9841.95,9.47,1040
2021,10047.4,9.47,1045
2022,12026.28,11.34,1087
2023,13270.9,12.17,1094
2024,13478.41,12.67,1072
2025,13200.38,18.88,713
