Team,TotalMatches,Wins,Losses,Draws,WinRate(%),Home_Played,Home_Wins,Home_WinRate(%),Away_Played,Away_Wins,Away_WinRate(%),Total_Goals_Scored,Avg_Goals_per_Match,Total_Shots,Avg_Shots_per_Match,Total_Shots_on_Target,Avg_SOT_per_Match,Total_Fouls,Avg_Fouls_per_Match,Total_Yellow_Cards,Avg_YC_per_Match,Total_Red_Cards,Avg_RC_per_Match,Total_Corners,Avg_Corners_per_Match,Recent_Matches,Recent_Wins,Recent_WinRate(%)
Man United,960,564,198,198,58.75,481,324,67.36,479,240,50.1,1732,1.804,13907,14.486,6488,6.758,10319,10.749,1571,1.636,56,0.0583,6315,6.578,124,62,50.0
Arsenal,960,551,188,221,57.4,481,325,67.57,479,226,47.18,1832,1.908,13605,14.172,6356,6.621,10100,10.521,1484,1.546,83,0.0865,6339,6.603,124,83,66.94
Chelsea,960,544,195,221,56.67,481,304,63.2,479,240,50.1,1730,1.802,14298,14.894,6351,6.616,10218,10.644,1623,1.691,69,0.0719,6326,6.59,124,53,42.74
Liverpool,960,539,191,230,56.15,480,314,65.42,480,225,46.88,1786,1.86,14981,15.605,6585,6.859,9974,10.39,1292,1.346,58,0.0604,6647,6.924,124,78,62.9
Man City,922,513,233,176,55.64,460,300,65.22,462,213,46.1,1762,1.911,13677,14.834,6018,6.527,9828,10.659,1390,1.508,70,0.0759,6093,6.608,124,93,75.0
Tottenham,960,450,300,210,46.88,479,280,58.46,481,170,35.34,1553,1.618,13056,13.6,5985,6.234,10366,10.798,1540,1.604,67,0.0698,6001,6.251,124,68,54.84
Everton,960,356,339,265,37.08,480,227,47.29,480,129,26.88,1228,1.279,11382,11.856,5041,5.251,10874,11.327,1545,1.609,80,0.0833,5691,5.928,124,35,28.23
Newcastle,884,322,341,221,36.43,442,209,47.29,442,113,25.57,1190,1.346,10580,11.968,4655,5.266,9836,11.127,1436,1.624,75,0.0848,5019,5.678,124,55,44.35
Leeds,266,94,112,60,35.34,133,49,36.84,133,45,33.83,367,1.38,3192,12.0,1352,5.083,3624,13.624,531,1.996,22,0.0827,1465,5.508,76,16,21.05
Brentford,162,57,63,42,35.19,81,32,39.51,81,25,30.86,244,1.506,1896,11.704,721,4.451,1193,7.364,293,1.809,7,0.0432,1072,6.617,124,41,33.06
Aston Villa,846,289,322,235,34.16,423,172,40.66,423,117,27.66,1077,1.273,9550,11.288,4228,4.998,9926,11.733,1476,1.745,55,0.065,5057,5.978,124,58,46.77
Blackburn,418,140,168,110,33.49,209,86,41.15,209,54,25.84,518,1.239,4645,11.112,2390,5.718,5734,13.718,753,1.801,50,0.1196,2242,5.364,0,0,
