,Home_Played,Home_Wins,Home_WinRate(%),Away_Played,Away_Wins,Away_WinRate(%)
Arsenal,481,325,67.57,479,226,47.18
Aston Villa,423,172,40.66,423,117,27.66
Birmingham,133,50,37.59,133,23,17.29
Blackburn,209,86,41.15,209,54,25.84
Blackpool,19,5,26.32,19,5,26.32
Bolton,209,81,38.76,209,51,24.4
Bournemouth,158,56,35.44,156,40,25.64
Bradford,19,4,21.05,19,1,5.26
Brentford,81,32,39.51,81,25,30.86
Brighton,158,56,35.44,156,43,27.56
Burnley,176,54,30.68,176,35,19.89
Cardiff,38,11,28.95,38,6,15.79
Charlton,133,54,40.6,133,31,23.31
Chelsea,481,304,63.2,479,240,50.1
Coventry,19,4,21.05,19,4,21.05
Crystal Palace,252,85,33.73,252,70,27.78
Derby,57,14,24.56,57,5,8.77
Everton,480,227,47.29,480,129,26.88
Fulham,346,146,42.2,348,62,17.82
Huddersfield,38,8,21.05,38,4,10.53
Hull,95,29,30.53,95,12,12.63
Ipswich,57,18,31.58,57,15,26.32
Leeds,133,49,36.84,133,45,33.83
Leicester,247,99,40.08,247,66,26.72
Liverpool,480,314,65.42,480,225,46.88
Luton,23,4,17.39,25,3,12.0
Man City,460,300,65.22,462,213,46.1
Man United,481,324,67.36,479,240,50.1
Middlesbrough,190,71,37.37,190,36,18.95
Newcastle,442,209,47.29,442,113,25.57
Norwich,133,41,30.83,133,15,11.28
Nott'm Forest,61,23,37.7,63,16,25.4
Portsmouth,133,54,40.6,133,25,18.8
QPR,57,15,26.32,57,7,12.28
Reading,57,23,40.35,57,9,15.79
Sheffield United,81,24,29.63,81,10,12.35
Southampton,323,114,35.29,323,75,23.22
Stoke,190,81,42.63,190,35,18.42
Sunderland,266,81,30.45,266,46,17.29
Swansea,133,51,38.35,133,31,23.31
Tottenham,479,280,58.46,481,170,35.34
Watford,133,40,30.08,133,27,20.3
West Brom,247,76,30.77,247,41,16.6
West Ham,423,172,40.66,423,106,25.06
Wigan,152,48,31.58,152,37,24.34
Wolves,214,79,36.92,214,50,23.36
