exp_id,name,n_features,features,accuracy,f1_macro,f1_H,f1_D,f1_A,train_time,report
EXP-0,Full Model (Baseline),26,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded', 'HomeTeam_AvgFouls', 'AwayTeam_AvgFouls', 'HomeTeam_PrevSeasonRank', 'AwayTeam_PrevSeasonRank', 'HomeTeam_AvgAge', 'HomeTeam_AvgValue', 'AwayTeam_AvgAge', 'AwayTeam_AvgValue']",0.538540596094553,0.45888850815741095,0.6448979591836734,0.1901639344262295,0.5416036308623298,0.15318799018859863,"{'H': {'precision': 0.5776965265082267, 'recall': 0.7297921478060047, 'f1-score': 0.6448979591836734, 'support': 433.0}, 'D': {'precision': 0.32954545454545453, 'recall': 0.1336405529953917, 'f1-score': 0.1901639344262295, 'support': 217.0}, 'A': {'precision': 0.5295857988165681, 'recall': 0.5541795665634675, 'f1-score': 0.5416036308623298, 'support': 323.0}, 'accuracy': 0.538540596094553, 'macro avg': {'precision': 0.4789425932900831, 'recall': 0.47253742245495456, 'f1-score': 0.45888850815741095, 'support': 973.0}, 'weighted avg': {'precision': 0.5063825001358452, 'recall': 0.538540596094553, 'f1-score': 0.5091925620406526, 'support': 973.0}}"
EXP-0a,Minimal Baseline,0,[],0.4450154162384378,0.20531057373162634,0.615931721194879,0.0,0.0,0.00021791458129882812,"{'H': {'precision': 0.4450154162384378, 'recall': 1.0, 'f1-score': 0.615931721194879, 'support': 433.0}, 'D': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 217.0}, 'A': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 323.0}, 'accuracy': 0.4450154162384378, 'macro avg': {'precision': 0.14833847207947928, 'recall': 0.3333333333333333, 'f1-score': 0.20531057373162634, 'support': 973.0}, 'weighted avg': {'precision': 0.19803872068987008, 'recall': 0.4450154162384378, 'f1-score': 0.2740991112819965, 'support': 973.0}}"
EXP-1,Ablate Team Form (Group 2),16,"['HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded', 'HomeTeam_AvgFouls', 'AwayTeam_AvgFouls', 'HomeTeam_PrevSeasonRank', 'AwayTeam_PrevSeasonRank', 'HomeTeam_AvgAge', 'HomeTeam_AvgValue', 'AwayTeam_AvgAge', 'AwayTeam_AvgValue']",0.5179856115107914,0.4386690368905164,0.6480331262939959,0.1641337386018237,0.5038402457757296,0.13355708122253418,"{'H': {'precision': 0.5872420262664165, 'recall': 0.7228637413394919, 'f1-score': 0.6480331262939959, 'support': 433.0}, 'D': {'precision': 0.24107142857142858, 'recall': 0.12442396313364056, 'f1-score': 0.1641337386018237, 'support': 217.0}, 'A': {'precision': 0.5, 'recall': 0.5077399380804953, 'f1-score': 0.5038402457757296, 'support': 323.0}, 'accuracy': 0.5179856115107914, 'macro avg': {'precision': 0.4427711516126151, 'recall': 0.4516758808512093, 'f1-score': 0.4386690368905164, 'support': 973.0}, 'weighted avg': {'precision': 0.48107738681742895, 'recall': 0.5179856115107914, 'f1-score': 0.4922464176232853, 'support': 973.0}}"
EXP-2,Ablate Match Dynamics (Group 3),18,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgFouls', 'AwayTeam_AvgFouls', 'HomeTeam_PrevSeasonRank', 'AwayTeam_PrevSeasonRank', 'HomeTeam_AvgAge', 'HomeTeam_AvgValue', 'AwayTeam_AvgAge', 'AwayTeam_AvgValue']",0.5457348406988695,0.4511026013890973,0.6572864321608041,0.14893617021276595,0.547085201793722,0.12451505661010742,"{'H': {'precision': 0.5818505338078291, 'recall': 0.7551963048498845, 'f1-score': 0.6572864321608041, 'support': 433.0}, 'D': {'precision': 0.3230769230769231, 'recall': 0.0967741935483871, 'f1-score': 0.14893617021276595, 'support': 217.0}, 'A': {'precision': 0.5289017341040463, 'recall': 0.56656346749226, 'f1-score': 0.547085201793722, 'support': 323.0}, 'accuracy': 0.5457348406988695, 'macro avg': {'precision': 0.4779430636629329, 'recall': 0.4728446552968439, 'f1-score': 0.4511026013890973, 'support': 973.0}, 'weighted avg': {'precision': 0.5065613911223938, 'recall': 0.5457348406988695, 'f1-score': 0.5073306210083973, 'support': 973.0}}"
EXP-3,Ablate Discipline (Group 4),24,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded', 'HomeTeam_PrevSeasonRank', 'AwayTeam_PrevSeasonRank', 'HomeTeam_AvgAge', 'HomeTeam_AvgValue', 'AwayTeam_AvgAge', 'AwayTeam_AvgValue']",0.513874614594039,0.42646270089887967,0.6375908618899273,0.13071895424836602,0.5110782865583456,0.12576007843017578,"{'H': {'precision': 0.5792452830188679, 'recall': 0.7090069284064665, 'f1-score': 0.6375908618899273, 'support': 433.0}, 'D': {'precision': 0.2247191011235955, 'recall': 0.09216589861751152, 'f1-score': 0.13071895424836602, 'support': 217.0}, 'A': {'precision': 0.4887005649717514, 'recall': 0.5356037151702786, 'f1-score': 0.5110782865583456, 'support': 323.0}, 'accuracy': 0.513874614594039, 'macro avg': {'precision': 0.43088831637140496, 'recall': 0.4455921807314189, 'f1-score': 0.42646270089887967, 'support': 973.0}, 'weighted avg': {'precision': 0.4701207964818764, 'recall': 0.513874614594039, 'f1-score': 0.48254999262957826, 'support': 973.0}}"
EXP-4,Ablate Previous Rank (Group 5a),24,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded', 'HomeTeam_AvgFouls', 'AwayTeam_AvgFouls', 'HomeTeam_AvgAge', 'HomeTeam_AvgValue', 'AwayTeam_AvgAge', 'AwayTeam_AvgValue']",0.5210688591983555,0.43251846833538,0.6399197592778335,0.1476510067114094,0.5099846390168971,0.13501286506652832,"{'H': {'precision': 0.5656028368794326, 'recall': 0.7367205542725174, 'f1-score': 0.6399197592778335, 'support': 433.0}, 'D': {'precision': 0.2716049382716049, 'recall': 0.10138248847926268, 'f1-score': 0.1476510067114094, 'support': 217.0}, 'A': {'precision': 0.5060975609756098, 'recall': 0.5139318885448917, 'f1-score': 0.5099846390168971, 'support': 323.0}, 'accuracy': 0.5210688591983555, 'macro avg': {'precision': 0.4477684453755491, 'recall': 0.4506783104322239, 'f1-score': 0.43251846833538, 'support': 973.0}, 'weighted avg': {'precision': 0.48028141024548254, 'recall': 0.5210688591983555, 'f1-score': 0.4869995504893479, 'support': 973.0}}"
EXP-5,Ablate Squad Quality (Group 5b),22,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded', 'HomeTeam_AvgFouls', 'AwayTeam_AvgFouls', 'HomeTeam_PrevSeasonRank', 'AwayTeam_PrevSeasonRank']",0.5118191161356629,0.453442634363687,0.6458333333333334,0.25396825396825395,0.4605263157894737,0.14034318923950195,"{'H': {'precision': 0.5882352941176471, 'recall': 0.7159353348729792, 'f1-score': 0.6458333333333334, 'support': 433.0}, 'D': {'precision': 0.2981366459627329, 'recall': 0.22119815668202766, 'f1-score': 0.25396825396825395, 'support': 217.0}, 'A': {'precision': 0.49122807017543857, 'recall': 0.43343653250773995, 'f1-score': 0.4605263157894737, 'support': 323.0}, 'accuracy': 0.5118191161356629, 'macro avg': {'precision': 0.4592000034186062, 'recall': 0.45685667468758223, 'f1-score': 0.453442634363687, 'support': 973.0}, 'weighted avg': {'precision': 0.4913342252759721, 'recall': 0.5118191161356629, 'f1-score': 0.4969238894598607, 'support': 973.0}}"
EXP-6,Only Team Form (Group 2),10,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded']",0.4881808838643371,0.4425362742463898,0.5871559633027523,0.21728395061728395,0.523168908819133,0.10622310638427734,"{'H': {'precision': 0.5831435079726651, 'recall': 0.5912240184757506, 'f1-score': 0.5871559633027523, 'support': 433.0}, 'D': {'precision': 0.23404255319148937, 'recall': 0.20276497695852536, 'f1-score': 0.21728395061728395, 'support': 217.0}, 'A': {'precision': 0.5057803468208093, 'recall': 0.541795665634675, 'f1-score': 0.523168908819133, 'support': 323.0}, 'accuracy': 0.4881808838643371, 'macro avg': {'precision': 0.4409888026616546, 'recall': 0.4452615536896503, 'f1-score': 0.4425362742463898, 'support': 973.0}, 'weighted avg': {'precision': 0.4796047533585186, 'recall': 0.4881808838643371, 'f1-score': 0.48342518699138987, 'support': 973.0}}"
EXP-7,Team Form + Match Dynamics,18,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded']",0.4943473792394656,0.4402864252204497,0.6150537634408603,0.23466666666666666,0.4711388455538221,0.1313459873199463,"{'H': {'precision': 0.5754527162977867, 'recall': 0.6605080831408776, 'f1-score': 0.6150537634408603, 'support': 433.0}, 'D': {'precision': 0.27848101265822783, 'recall': 0.20276497695852536, 'f1-score': 0.23466666666666666, 'support': 217.0}, 'A': {'precision': 0.4748427672955975, 'recall': 0.4674922600619195, 'f1-score': 0.4711388455538221, 'support': 323.0}, 'accuracy': 0.4943473792394656, 'macro avg': {'precision': 0.4429254987505373, 'recall': 0.4435884400537742, 'f1-score': 0.4402864252204497, 'support': 973.0}, 'weighted avg': {'precision': 0.47582283632091993, 'recall': 0.4943473792394656, 'f1-score': 0.48244480303231624, 'support': 973.0}}"
EXP-8,Form + Dynamics + Prev Rank,20,"['HomeTeam_Wins', 'HomeTeam_Draws', 'HomeTeam_Losses', 'AwayTeam_Wins', 'AwayTeam_Draws', 'AwayTeam_Losses', 'HomeTeam_AvgGoalsScored', 'HomeTeam_AvgGoalsConceded', 'AwayTeam_AvgGoalsScored', 'AwayTeam_AvgGoalsConceded', 'HomeTeam_AvgShots', 'HomeTeam_AvgShotsConceded', 'AwayTeam_AvgShots', 'AwayTeam_AvgShotsConceded', 'HomeTeam_AvgCorners', 'HomeTeam_AvgCornersConceded', 'AwayTeam_AvgCorners', 'AwayTeam_AvgCornersConceded', 'HomeTeam_PrevSeasonRank', 'AwayTeam_PrevSeasonRank']",0.49743062692702983,0.4240349626173681,0.6324607329842932,0.16138328530259366,0.4782608695652174,0.13555288314819336,"{'H': {'precision': 0.578544061302682, 'recall': 0.6974595842956121, 'f1-score': 0.6324607329842932, 'support': 433.0}, 'D': {'precision': 0.2153846153846154, 'recall': 0.12903225806451613, 'f1-score': 0.16138328530259366, 'support': 217.0}, 'A': {'precision': 0.4797507788161994, 'recall': 0.47678018575851394, 'f1-score': 0.4782608695652174, 'support': 323.0}, 'accuracy': 0.49743062692702983, 'macro avg': {'precision': 0.4245598185011656, 'recall': 0.43442400937288067, 'f1-score': 0.4240349626173681, 'support': 973.0}, 'weighted avg': {'precision': 0.46475595235370526, 'recall': 0.49743062692702983, 'f1-score': 0.47621164559345014, 'support': 973.0}}"
